symbol,date,time,open,high,low,close,volume
TSLA,2019-10-10,09:31,245.2903,245.516,244.7652,244.8702,103033
TSLA,2019-10-10,09:32,245.0807,245.0807,244.55,244.66,21168
TSLA,2019-10-10,09:33,244.58,245.8,244.55,245.6,36544
TSLA,2019-10-10,09:34,245.7097,246.09,245.57,245.92,30057
TSLA,2019-10-10,09:35,245.62,245.62,245.62,245.62,26301
TSLA,2019-10-10,09:36,245.7126,246.44,245.7126,246.188,31494
TSLA,2019-10-10,09:37,246.46,246.46,246.45,246.45,24271
TSLA,2019-10-10,09:38,246.755,246.755,246.25,246.25,37951
TSLA,2019-10-10,09:39,246.2818,246.655,246.2818,246.655,15324
TSLA,2019-10-10,09:40,246.78,246.78,246.56,246.762,23285
TSLA,2019-10-10,09:41,246.75,246.75,246.38,246.5,23365
TSLA,2019-10-10,09:42,246.17,246.17,246.17,246.17,16130
TSLA,2019-10-10,09:43,246.135,246.135,245.82,245.82,27227
TSLA,2019-10-10,09:44,245.9335,245.9335,245.91,245.91,14464
TSLA,2019-10-10,09:45,246.41,246.41,246.41,246.41,17156
TSLA,2019-10-10,09:46,246.44,246.46,246.1683,246.1683,23938
TSLA,2019-10-10,09:47,246.2857,246.57,246.2857,246.57,70833
TSLA,2019-10-10,09:48,246.6,247.47,246.6,247.47,59743
TSLA,2019-10-10,09:49,247.49,247.65,247.49,247.65,71995
TSLA,2019-10-10,09:50,247.685,247.801,247.65,247.69,46038
TSLA,2019-10-10,09:51,247.95,248.74,247.95,248.74,103773
TSLA,2019-10-10,09:52,248.56,248.56,247.95,247.95,73810
TSLA,2019-10-10,09:53,247.93,247.93,247.6614,247.6614,29784
TSLA,2019-10-10,09:54,247.74,247.76,247.65,247.76,37138
TSLA,2019-10-10,09:55,247.93,248.03,247.93,248.03,53166
TSLA,2019-10-10,09:56,247.91,248.44,247.91,248.44,40789
TSLA,2019-10-10,09:57,248.52,248.52,248.3154,248.3154,51988
TSLA,2019-10-10,09:58,248.4409,248.62,248.4409,248.62,53405
TSLA,2019-10-10,09:59,248.9199,248.9199,248.9199,248.9199,85348
TSLA,2019-10-10,10:00,248.91,249.08,248.42,248.72,58270
